cid,drug_name,smiles,molecular_formula,molecular_weight
1,Acetyl-DL-carnitine,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,C9H17NO4,203.24
2,"2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium",CC(=O)OC(CC(=O)O)C[N+](C)(C)C,C9H18NO4+,204.24
3,"5,6-Dihydroxycyclohexa-1,3-diene-1-carboxylic acid",C1=CC(C(C(=C1)C(=O)O)O)O,C7H8O4,156.14
4,1-Amino-2-propanol,CC(CN)O,C3H9NO,75.11
5,3-Amino-2-oxopropyl phosphate,C(C(=O)COP(=O)(O)O)N,C3H8NO5P,169.07
6,"1-Chloro-2,4-Dinitrobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,C6H3ClN2O4,202.55
7,9-Ethyladenine,CCN1C=NC2=C(N=CN=C21)N,C7H9N5,163.18
8,"4,5-Dideoxy-3-C-methylpentonic acid",CCC(C)(C(C(=O)O)O)O,C6H12O4,148.16
9,"Inositol, 1-(dihydrogen phosphate)",C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,C6H13O9P,260.14
10,,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C20H23N7O7,473.4
11,"1,2-Dichloroethane",C(CCl)Cl,C2H4Cl2,98.96
12,"1,2,3,5-Tetrahydroxybenzene",C1=C(C=C(C(=C1O)O)O)O,C6H6O4,142.11
13,"1,2,4-Trichlorobenzene",C1=CC(=C(C=C1Cl)Cl)Cl,C6H3Cl3,181.4
14,7-(3-Hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl)heptanoic acid,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O,C20H32O5,352.5
15,17-Hydroxyandrostan-3-one,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,C19H30O2,290.4
16,"1,8-Diazacyclotetradecane-2,9-dione",C1CCC(=O)NCCCCCC(=O)NCC1,C12H22N2O2,226.32
17,"2,3-Dihydro-2,6-pyridinedicarboxylic acid",C1C=CC(=NC1C(=O)O)C(=O)O,C7H7NO4,169.13
